OpIndex,OpTime(sec)
1,0.000000151
2,0.000000070
3,0.000000351
4,0.000000231
5,0.000000200
6,0.000000881
7,0.000000742
8,0.000000271
9,0.000000270
10,0.000000261
11,0.000000802
12,0.000000381
13,0.000000400
14,0.000000190
15,0.000000221
16,0.000000180
17,0.000001183
18,0.000000370
19,0.000000340
20,0.000000230
21,0.000000201
22,0.000000431
23,0.000000230
24,0.000000371
25,0.000000351
26,0.000000351
27,0.000000230
28,0.000000210
29,0.000000221
30,0.000000250
31,0.000000211
32,0.000000230
33,0.000280215
34,0.000000220
35,0.000000301
36,0.000000231
37,0.000000200
38,0.000000141
39,0.000000170
40,0.000000141
41,0.000000190
42,0.000000121
43,0.000000180
44,0.000000171
45,0.000000180
46,0.000000131
47,0.000000120
48,0.000000181
49,0.000000150
50,0.000000131
51,0.000000170
52,0.000000130
53,0.000000180
54,0.000000130
55,0.000000140
56,0.000000170
57,0.000000140
58,0.000000150
59,0.000000140
60,0.000000150
61,0.000000140
62,0.000000190
63,0.000000220
64,0.000000140
65,0.000000120
66,0.000000120
67,0.000000111
68,0.000000180
69,0.000000131
70,0.000000170
71,0.000000111
72,0.000000190
73,0.000000121
74,0.000000250
75,0.000000121
76,0.000000170
77,0.000000161
78,0.000000140
79,0.000000151
80,0.000000170
81,0.000000141
82,0.000000160
83,0.000000151
84,0.000000140
85,0.000000130
86,0.000000140
87,0.000000170
88,0.000000140
89,0.000000140
90,0.000000160
91,0.000000140
92,0.000000140
93,0.000000140
94,0.000000141
95,0.000000150
96,0.000000141
97,0.000000140
98,0.000000141
99,0.000000140
100,0.000000130
101,0.000000180
102,0.000000140
103,0.000000160
104,0.000000140
105,0.000000140
106,0.000000120
107,0.000000140
108,0.000000120
109,0.000000151
110,0.000000120
111,0.000000141
112,0.000000170
113,0.000000141
114,0.000000140
115,0.000000140
116,0.000000170
117,0.000000140
118,0.000000140
119,0.000000130
120,0.000000140
121,0.000000120
122,0.000000171
123,0.000000120
124,0.000000161
125,0.000000160
126,0.000000121
127,0.000000140
128,0.000000110
129,0.000000120
130,0.000000120
131,0.000000170
132,0.000000160
133,0.000000160
134,0.000000120
135,0.000000171
136,0.000000120
137,0.000000121
138,0.000000160
139,0.000000171
140,0.000000110
141,0.000000171
142,0.000000120
143,0.000000150
144,0.000000140
145,0.000000180
146,0.000000110
147,0.000000140
148,0.000000140
149,0.000000120
150,0.000000111
151,0.000000170
152,0.000000111
153,0.000000170
154,0.000000121
155,0.000000170
156,0.000000171
157,0.000000120
158,0.000000140
159,0.000000120
160,0.000000120
161,0.000000181
162,0.000000120
163,0.000000171
164,0.000000120
165,0.000000121
166,0.000000120
167,0.000000130
168,0.000000110
169,0.000000180
170,0.000000120
171,0.000000120
172,0.000000161
173,0.000000170
174,0.000000171
175,0.000000170
176,0.000000161
177,0.000000170
178,0.000000141
179,0.000000140
180,0.000000141
181,0.000000140
182,0.000000151
183,0.000000150
184,0.000000141
185,0.000000150
186,0.000000140
187,0.000000160
188,0.000000140
189,0.000000140
190,0.000000140
191,0.000000140
192,0.000000130
193,0.000000171
194,0.000000170
195,0.000000301
196,0.000000141
197,0.000000140
198,0.000000140
199,0.000000120
200,0.000000170
201,0.000000120
202,0.000000311
203,0.000000110
204,0.000000150
205,0.000000180
206,0.000000171
207,0.000000150
208,0.000000140
209,0.000000130
210,0.000000201
211,0.000000170
212,0.000000171
213,0.000000140
214,0.000000140
215,0.000000170
216,0.000000160
217,0.000000140
218,0.000000130
219,0.000000170
220,0.000000140
221,0.000000130
222,0.000000140
223,0.000000201
224,0.000000140
225,0.000000191
226,0.000000140
227,0.000000140
228,0.000000150
229,0.000000141
230,0.000000140
231,0.000000321
232,0.000000140
233,0.000000150
234,0.000000140
235,0.000000150
236,0.000000140
237,0.000000171
238,0.000000140
239,0.000000141
240,0.000000140
241,0.000000141
242,0.000000160
243,0.000000121
244,0.000000150
245,0.000000120
246,0.000000120
247,0.000000110
248,0.000000171
249,0.000000160
250,0.000000180
251,0.000000130
252,0.000000171
253,0.000000170
254,0.000000131
255,0.000000160
256,0.000000131
257,0.000000160
258,0.000000141
259,0.000000140
260,0.000000131
261,0.000000120
262,0.000000120
263,0.000000120
264,0.000000150
265,0.000000201
266,0.000000120
267,0.000000111
268,0.000000170
269,0.000000121
270,0.000000120
271,0.000000171
272,0.000000120
273,0.000000120
274,0.000000160
275,0.000000170
276,0.000000160
277,0.000000130
278,0.000000170
279,0.000000150
280,0.000000140
281,0.000000140
282,0.000000141
283,0.000000391
284,0.000000150
285,0.000000171
286,0.000000140
287,0.000000241
288,0.000000140
289,0.000000141
290,0.000000150
291,0.000000141
292,0.000000150
293,0.000000141
294,0.000000140
295,0.000000140
296,0.000000130
297,0.000000140
298,0.000000120
299,0.000000170
300,0.000000120
301,0.000000120
302,0.000000171
303,0.000000110
304,0.000000221
305,0.000000180
306,0.000000121
307,0.000000170
308,0.000000171
309,0.000000150
310,0.000000141
311,0.000000140
312,0.000000141
313,0.000000140
314,0.000000140
315,0.000000150
316,0.000000160
317,0.000000320
318,0.000000151
319,0.000000140
320,0.000000151
321,0.000000150
322,0.000000141
323,0.000000140
324,0.000000140
325,0.000000140
326,0.000000130
327,0.000000150
328,0.000000140
329,0.000000140
330,0.000000140
331,0.000000141
332,0.000000140
333,0.000000111
334,0.000000160
335,0.000000121
336,0.000000120
337,0.000000120
338,0.000000120
339,0.000000110
340,0.000000121
341,0.000000120
342,0.000000110
343,0.000000160
344,0.000000150
345,0.000000140
346,0.000000110
347,0.000000170
348,0.000000170
349,0.000000120
350,0.000000170
351,0.000000121
352,0.000000120
353,0.000000161
354,0.000000120
355,0.000000120
356,0.000000120
357,0.000000170
358,0.000000120
359,0.000000160
360,0.000000120
361,0.000000170
362,0.000000171
363,0.000000120
364,0.000000141
365,0.000000180
366,0.000000171
367,0.000000140
368,0.000000141
369,0.000000170
370,0.000000151
371,0.000000140
372,0.000000151
373,0.000000140
374,0.000000141
375,0.000000150
376,0.000000140
377,0.000000150
378,0.000000150
379,0.000000140
380,0.000000140
381,0.000000140
382,0.000000140
383,0.000000141
384,0.000000140
385,0.000000231
386,0.000000160
387,0.000000140
388,0.000000140
389,0.000000141
390,0.000000140
391,0.000000211
392,0.000000140
393,0.000000151
394,0.000000190
395,0.000000141
396,0.000000140
397,0.000000141
398,0.000000150
399,0.000000141
400,0.000000140
401,0.000000120
402,0.000000140
403,0.000000160
404,0.000000120
405,0.000000160
406,0.000000251
407,0.000000110
408,0.000000140
409,0.000000140
410,0.000000161
411,0.000000170
412,0.000000120
413,0.000000150
414,0.000000121
415,0.000000150
416,0.000000171
417,0.000000120
418,0.000000150
419,0.000000170
420,0.000000170
421,0.000000140
422,0.000000140
423,0.000000150
424,0.000000110
425,0.000000171
426,0.000000120
427,0.000000171
428,0.000000170
429,0.000000171
430,0.000000391
431,0.000000140
432,0.000000281
433,0.000000180
434,0.000000140
435,0.000000140
436,0.000000140
437,0.000000130
438,0.000000171
439,0.000000170
440,0.000000141
441,0.000000150
442,0.000000141
443,0.000000150
444,0.000000141
445,0.000000150
446,0.000000141
447,0.000000130
448,0.000000140
449,0.000000160
450,0.000000140
451,0.000000140
452,0.000000140
453,0.000000170
454,0.000000120
455,0.000000161
456,0.000000120
457,0.000000161
458,0.000000110
459,0.000000141
460,0.000000170
461,0.000000171
462,0.000000180
463,0.000000141
464,0.000000140
465,0.000000120
466,0.000000170
467,0.000000171
468,0.000000140
469,0.000000130
470,0.000000140
471,0.000000150
472,0.000000140
473,0.000000170
474,0.000000141
475,0.000000140
476,0.000000141
477,0.000000140
478,0.000000111
479,0.000000140
480,0.000000120
481,0.000000140
482,0.000000190
483,0.000000140
484,0.000000150
485,0.000000190
486,0.000000301
487,0.000000140
488,0.000000151
489,0.000000140
490,0.000000141
491,0.000000170
492,0.000000171
493,0.000000120
494,0.000000160
495,0.000000170
496,0.000000140
497,0.000000140
498,0.000000140
499,0.000000130
500,0.000000140
501,0.000000141
502,0.000000140
503,0.000000141
504,0.000000140
505,0.000000141
506,0.000000170
507,0.000000111
508,0.000000170
509,0.000000110
510,0.000000120
511,0.000000160
512,0.000000180
513,0.000000120
514,0.000000150
515,0.000000170
516,0.000000120
517,0.000000220
518,0.000000170
519,0.000000140
520,0.000000140
521,0.000000150
522,0.000000300
523,0.000000141
524,0.000000140
525,0.000000151
526,0.000000140
527,0.000000150
528,0.000000140
529,0.000000130
530,0.000000150
531,0.000000230
532,0.000000150
533,0.000000221
534,0.000000140
535,0.000000140
536,0.000000140
